name_ru,name_en,year
Игрушечная история,Toy Story,1995
Джуманджи,Jumanji,1995
Старистые мужчины,Grumpier Old Men,1995
В ожидании выдоха,Waiting to Exhale,1995
"Отец невесты, часть II",Father of the Bride Part II,1995
Нагревать,Heat,1995
Сабрина,Sabrina,1995
Том и Гек,Tom and Huck,1995
Внезапная смерть,Sudden Death,1995
Золотой глаз,GoldenEye,1995
"Американский президент","American President, The",1995
Дракула: мертв,Dracula: Dead and Loving It,1995
Балто,Balto,1995
Никсон,Nixon,1995
Менянный остров,Cutthroat Island,1995
Казино,Casino,1995
Чувство и чувствительность,Sense and Sensibility,1995
Четыре комнаты,Four Rooms,1995
Эйс Вентура: Когда природа звонит,Ace Ventura: When Nature Calls,1995
Денежный поезд,Money Train,1995
Получите короткую,Get Shorty,1995
Подражание,Copycat,1995
Ассасины,Assassins,1995
Пудра,Powder,1995
Покидая Лас -Вегас,Leaving Las Vegas,1995
Отелло,Othello,1995
Сейчас и потом,Now and Then,1995
Убеждение,Persuasion,1995
"Город Потерянный Дети, (Cité des Enfants Lost, LA)","City of Lost Children, The (Cité des enfants perdus, La)",1995
Шанхайская триада (Ya oa далеко от бабушки -моста),Shanghai Triad (Yao a yao yao dao waipo qiao),1995
Опасные мысли,Dangerous Minds,1995
Двенадцать обезьян (a.k.a. 12 обезьян),Twelve Monkeys (a.k.a. 12 Monkeys),1995
Малышка,Babe,1995
Ходячий мертвец,Dead Man Walking,1995
Он принимает два,It Takes Two,1995
Невежественный,Clueless,1995
"Плакать, любимая страна","Cry, the Beloved Country",1995
Ричард III,Richard III,1995
Мертвые президенты,Dead Presidents,1995
Восстановление,Restoration,1995
Смертельная битва,Mortal Kombat,1995
Умереть для,To Die For,1995
Как сделать американское одеяло,How to Make an American Quilt,1995
Семь (a.k.a. se7en),Seven (a.k.a. Se7en),1995
Покахонтас,Pocahontas,1995
Когда ночь падает,When Night Is Falling,1995
"Обычные подозреваемые","Usual Suspects, The",1995
Могущественная афродита,Mighty Aphrodite,1995
Ламерика,Lamerica,1994
"Большой зеленый","Big Green, The",1995
Грузия,Georgia,1995
Дом на праздники,Home for the Holidays,1995
